Type,Land1,Land2,Land3,Land4,Land5,Land6,Land7
Land1,0,1367,13170,47841,0,7130,377
Land2,418,174130,36848,14414,0,1598,3705
Land3,49103,96161,1.33755e+06,766134,0,213465,14943
Land4,468,2003,23533,892794,0,10206,413
Land5,0,18,0,7659,31736,0,0
Land6,6119,5034,135096,384568,0,921070,1699
Land7,571,9195,23576,22150,0,6782,88516
