RMSE_original, 0.140099
Factors, Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,
RMSE_noise, 0.275491,0.281691,0.215601,0.308329,0.228329,0.208030,0.213319,0.252958,0.338779,0.239126,0.221116,0.208795,0.219123,0.290070,0.181071,0.174062,
Contribution:, 0.083870,0.087711,0.046771,0.104212,0.054655,0.042081,0.045357,0.069912,0.123074,0.061343,0.050187,0.042555,0.048952,0.092901,0.025381,0.021039,
