RMSE_original, 0.099230
Factors, Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,
RMSE_noise, 0.171448,0.304152,0.183899,0.158976,0.147777,0.145640,0.175328,0.156012,0.175249,0.169356,0.197615,0.158927,0.199947,0.165958,0.132616,0.173806,
Contribution:, 0.058760,0.166735,0.068891,0.048612,0.039501,0.037762,0.061918,0.046201,0.061853,0.057058,0.080051,0.048573,0.081949,0.054293,0.027165,0.060679,
