Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.115993,0.241158,0.0685714,0.0303343,0.198757,0.756085,0.215238,0.212639,0.994029,0.0335644,0.188921,0.0927117,0.470389,0.00949462,0.0332736,0.448041,0
0.106026,0.215434,0.0571429,0.0188143,0.21118,0.739687,0.218809,0.187893,0.936711,0.0788942,0.184313,0.0910886,0.460954,0.00949462,0,0.448041,0
0.00756474,0.22508,0.0742857,0.0490452,0.217391,0.682593,0.237264,0.084761,0.702657,0.266475,0.156137,0.00610659,0.425996,0.00805849,0.0641961,0.448041,0
0.0582152,0.215434,0.114286,0.0188143,0.273292,0.635221,0.267026,0,0.502878,0.424709,0.144689,0.177091,0.396863,0.0106557,0,0.449744,0
0.078169,0.215434,0.0514286,0.0168282,0.223602,0.704934,0.231641,0.137874,0.825044,0.172069,0.176943,0.0946522,0.440976,0.0858407,0,0.448041,0
0.0353021,0.21865,0.0571429,0.0504659,0.223602,0.68439,0.23903,0.0993301,0.736568,0.242036,0.166281,0.0396928,0.428134,0.163396,0.0641961,0.448041,0
0.0605179,0.215434,0.114286,0.112969,0.229813,0.690793,0.237216,0.11331,0.768108,0.216906,0.171279,0.0702258,0.432228,0.163396,0,0.449744,0
0.059778,0.212219,0.08,0.00841439,0.285714,0.620967,0.277852,0.0233732,0.448837,0.468416,0.145515,0.225944,0.388312,0.0106557,0,0.449744,0
0.0361035,0.21865,0.131429,0.0420602,0.273292,0.648241,0.257977,0.0344892,0.587863,0.360407,0.154445,0.0977055,0.406369,0.0198448,0.0215581,0.449744,0
0.0407374,0.231511,0.114286,0.0168282,0.273292,0.620651,0.277459,0.014358,0.471011,0.45343,0.150955,0.204571,0.389171,0.0106557,0,0.449744,0
0.080256,0.215434,0.08,0.0511614,0.285714,0.604293,0.274187,0.0512483,0.385699,0.519768,0.146732,0.283957,0.378681,0.00249455,0,0.449744,0
0.0599373,0.228296,0.0628571,0.0188143,0.204969,0.756766,0.232938,0.241667,0.908227,0.015921,0.21523,0.161219,0.473641,0.0534911,0.0330743,0.471891,0
0.0151295,0.22508,0.12,0.059465,0.223602,0.659443,0.253528,0.0662961,0.663895,0.304425,0.166826,0.0274797,0.414073,0.0198448,0.0641961,0.449744,0
0.0504316,0.21865,0.0742857,0.0252408,0.21118,0.741424,0.235089,0.218341,0.940032,0.026535,0.212425,0.13552,0.464465,0.00668392,0.0177725,0.448041,1
0.164387,0.212219,0.0971429,0.0656729,0.322981,0.56694,0.233485,0.131985,0.204263,0.63367,0.15043,0.454941,0.354483,0.0021361,0,0.449744,0
0.00756474,0.228296,0.131429,0.00841439,0.273292,0.64326,0.262576,0.0428341,0.610796,0.348185,0.165308,0.0763324,0.405111,0.0198448,0.0215581,0.449744,0
0.0201726,0.212219,0.114286,0.0188143,0.273292,0.618017,0.278496,0.00717901,0.490897,0.441511,0.157221,0.186251,0.389186,0.0106557,0,0.449744,0
0.0176511,0.215434,0.114286,0.0303343,0.273292,0.618388,0.278359,0.00430741,0.497416,0.43699,0.158622,0.180144,0.389533,0.0106557,0,0.449744,0
0.0169153,0.21865,0.114286,0.0428927,0.229813,0.672228,0.250023,0.102225,0.746844,0.241352,0.181191,0.0300715,0.423566,0.163396,0.0641961,0.449744,0
0.078938,0.228296,0.0685714,0.034687,0.204969,0.768424,0.241289,0.267433,0.838131,0.0610882,0.192979,0.170247,0.481371,0.0534911,0.0330743,0.471891,0
0.0499248,0.22508,0.0628571,0.00841439,0.204969,0.75667,0.239853,0.249764,0.87038,0.037149,0.204478,0.150202,0.474792,0.0534911,0.0330743,0.471891,1
0.276375,0.209003,0.125714,0.0905054,0.360248,0.524334,0.183391,0.228324,0,0.442148,0.158673,0.474245,0.323942,0.00213336,0,0.449744,0
0.0281921,0.21865,0.0628571,0.0188143,0.204969,0.744464,0.241742,0.23209,0.892697,0.005307,0.213639,0.128384,0.467544,0.0534911,0.0330743,0.471891,0
0.0176511,0.228296,0.0971429,0.0188143,0.223602,0.683783,0.249504,0.132592,0.820771,0.183092,0.194955,0.0409643,0.431626,0.0858407,0.183463,0.449744,0
0.0159479,0.22508,0.12,0.0336517,0.223602,0.650999,0.260865,0.0724902,0.682157,0.294539,0.179531,0.0152665,0.411673,0.163396,0.355927,0.449744,0
0.0481747,0.228296,0.08,0.0303343,0.285714,0.589795,0.280594,0.0524019,0.393353,0.526464,0.160141,0.2815,0.372468,0.00249455,0.019207,0.449744,0
0.142642,0.221865,0.0628571,0.0266059,0.229813,0.788112,0.249555,0.26119,0.762809,0.068991,0.166995,0.21745,0.493665,0.00808378,0.0157003,0.471891,0
0.0151295,0.22508,0.0971429,0.0475819,0.223602,0.684512,0.250023,0.135255,0.827311,0.177785,0.196774,0.0407361,0.432137,0.0858407,0.183463,0.449744,0
0.00252158,0.221865,0.114286,0.034687,0.229813,0.668482,0.25487,0.108029,0.764569,0.228201,0.189821,0.0155688,0.422741,0.163396,0.183463,0.449744,0
0.0151295,0.21865,0.131429,0.0252408,0.273292,0.617695,0.279836,0.0109347,0.544901,0.408639,0.170443,0.14256,0.39071,0.0106557,0.00366607,0.449744,0
0.041357,0.221865,0.114286,0.0188143,0.298137,0.58236,0.280513,0.0577185,0.387404,0.537404,0.164871,0.292001,0.368733,0.00249455,0.019207,0.90971,0
0.0303639,0.221865,0.148571,0.0266059,0.242236,0.643616,0.266582,0.0687088,0.678185,0.299846,0.184641,0.032457,0.408011,0.0198448,0.355927,0.449744,0
0.152904,0.215434,0.131429,0.0612208,0.335403,0.488864,0.151651,0.215681,0,0.118341,0.171037,0.460279,0.286115,0.00701446,0,0.470187,0
0.0285284,0.221865,0.114286,0.0452982,0.298137,0.58415,0.286105,0.0495716,0.407264,0.52274,0.167718,0.274627,0.370162,0.00249455,0.019207,0.90971,0
0,0.228296,0.148571,0,0.236025,0.662736,0.260109,0.106868,0.766806,0.228201,0.195529,0,0.420072,0.163396,0.183463,0.241908,0
0.0176511,0.221865,0.102857,0.0428927,0.217391,0.739774,0.251041,0.234498,0.856381,0.0185745,0.203919,0.10515,0.466022,0.0534911,0.0250648,0.471891,0
0.0272751,0.221865,0.148571,0.037622,0.242236,0.645476,0.267339,0.0765836,0.698193,0.283925,0.189633,0.0289661,0.409398,0.163396,0.355927,0.449744,0
0.0203296,0.215434,0.102857,0.0538534,0.217391,0.739887,0.252006,0.235489,0.851937,0.021228,0.202503,0.103812,0.466129,0.0534911,0.0250648,0.471891,0
0.0178303,0.21865,0.114286,0.0266059,0.298137,0.583224,0.289359,0.0459681,0.418585,0.514779,0.170106,0.266548,0.370392,0.00249455,0.019207,0.90971,0
0.0225537,0.21865,0.114286,0.0188143,0.298137,0.581363,0.287023,0.0501504,0.409356,0.52274,0.169756,0.275576,0.369161,0.00249455,0.019207,0.90971,0
0.233583,0.228296,0.0285714,0.00841439,0.21118,0.853548,0.282691,0.231383,0.583771,0.116754,0.0925989,0.420258,0.521275,0.0248933,0.00840805,0.255537,0
0.00504316,0.215434,0.148571,0.0266059,0.236025,0.656433,0.264547,0.100321,0.755837,0.238815,0.197667,0.0152665,0.416418,0.163396,0.183463,0.241908,0
0.0106982,0.221865,0.114286,0.0237975,0.298137,0.582627,0.291835,0.0432889,0.4262,0.509472,0.1724,0.261677,0.370223,0.00232239,0.019207,0.90971,0
0.129168,0.21865,0.131429,0.037622,0.310559,0.538524,0.239071,0.140826,0.202716,0.634192,0.172067,0.483241,0.340324,0.0347661,0.020522,0.449744,0
0.21088,0.234727,0.0457143,0.0511614,0.217391,0.862459,0.288227,0.229728,0.563564,0.119408,0.0825624,0.451774,0.517072,0.0337612,0.00840805,0.255537,0
0.217529,0.212219,0.142857,0.0188143,0.360248,0.510776,0.20252,0.198,0.0737828,0.494897,0.174128,0.466065,0.319778,0.00221101,0,0.449744,0
0.0392266,0.221865,0.114286,0.0475819,0.291925,0.566957,0.277877,0.0723052,0.36483,0.562542,0.173346,0.323361,0.360562,0.00232239,0.019207,0.90971,0
0.0820192,0.215434,0.102857,0.0475819,0.31677,0.551936,0.259721,0.108134,0.287606,0.62888,0.173097,0.39906,0.350225,0.00884686,0.000199243,0.449744,0
0.17065,0.212219,0.142857,0.00841439,0.341615,0.521342,0.219316,0.16873,0.131532,0.560297,0.174128,0.474058,0.328456,0.00221101,0,0.449744,0
0.0213963,0.215434,0.114286,0.0188143,0.279503,0.589229,0.298872,0.021537,0.478324,0.467016,0.178046,0.216418,0.375469,0.00332423,0.00366607,0.241908,0
0.272167,0.22508,0.0514286,0.0252408,0.223602,0.822911,0.275212,0.229459,0.618055,0.125727,0.114891,0.335043,0.515768,0.0248933,0.00541941,0.255537,1
0.100926,0.215434,0.08,0,0.236025,0.760767,0.260731,0.245224,0.760902,0.100833,0.172815,0.149081,0.479204,0.00332423,0.0157003,0.471891,0
0.105606,0.22508,0.131429,0.0452982,0.310559,0.5382,0.247675,0.128181,0.23524,0.660311,0.176188,0.457791,0.341483,0.0347661,0.020522,0.449744,0
0.129217,0.231511,0.148571,0.0640398,0.347825,0.475552,0.158808,0.22322,0,0.208684,0.18031,0.425111,0.285229,0.017898,0,0.449744,0
0.23633,0.221865,0.0514286,0.0452982,0.223602,0.841781,0.284678,0.223455,0.575889,0.132675,0.0954665,0.394738,0.520336,0.0248933,0.00840805,0.255537,0
0.213308,0.21865,0.0628571,0.0531932,0.223602,0.799912,0.270481,0.230391,0.659222,0.12429,0.13379,0.265917,0.502374,0.00275333,0,0.471891,0
0.0277374,0.215434,0.102857,0.0677888,0.223602,0.708993,0.258667,0.195063,0.908584,0.0504165,0.222291,0.051906,0.449271,0.00341843,0.0105599,0.471891,0
0.221354,0.22508,0.0457143,0.0237975,0.217391,0.847621,0.287509,0.222776,0.562606,0.132675,0.0892361,0.415439,0.517963,0.0199127,0.00840805,0.255537,0
0.223228,0.22508,0.0457143,0.0266059,0.217391,0.846695,0.287097,0.222846,0.564069,0.132675,0.090118,0.412478,0.518301,0.0199127,0.00840805,0.255537,0
0.196165,0.231511,0.0457143,0.034687,0.217391,0.859077,0.293406,0.221114,0.542006,0.135329,0.0783127,0.4504,0.513407,0.0043918,0.00840805,0.255537,0
0.077843,0.205788,0.08,0.0420602,0.236025,0.748413,0.262002,0.24564,0.77898,0.074298,0.180074,0.119235,0.472858,0.0607721,0.0250648,0.471891,0
0.25473,0.21865,0.0628571,0.0118996,0.223602,0.814497,0.277711,0.223358,0.611875,0.138008,0.116688,0.31585,0.511288,0.00275333,0.00541941,0.471891,0
0.107367,0.21865,0.16,0.0677888,0.347825,0.469433,0.162749,0.208236,0.00446963,0.189516,0.185461,0.412602,0.279939,0.017898,0.00765093,0.449744,0
0.0713656,0.228296,0.102857,0.0188143,0.217391,0.743544,0.263322,0.244732,0.784806,0.063684,0.182533,0.105989,0.470013,0.0607721,0.0250648,0.471891,0
0.00504316,0.215434,0.12,0.0266059,0.223602,0.672609,0.267131,0.140305,0.868226,0.15125,0.220738,0.00610659,0.427941,0.0253349,0.00163379,0.241908,0
0.233624,0.215434,0.142857,0.037622,0.378881,0.492913,0.199828,0.205495,0.0763771,0.46804,0.183401,0.434438,0.309801,0.0016827,0,0.449744,0
0.0393884,0.21865,0.114286,0.0118996,0.291925,0.548857,0.273487,0.0911819,0.339295,0.594384,0.181577,0.365083,0.351194,0.00884686,0.00310819,0.90971,0
0.0489602,0.209003,0.114286,0.0693331,0.279503,0.582013,0.304228,0.0174673,0.49982,0.456402,0.187924,0.214536,0.372844,0.00332423,0,0.241908,0
0.0970072,0.241158,0.148571,0.0693331,0.329192,0.464962,0.165464,0.203702,0,0.193269,0.188552,0.403601,0.27791,0.017898,0.00765093,0.449744,0
0.0485036,0.221865,0.102857,0.0761242,0.217391,0.722636,0.265314,0.225,0.830354,0.010614,0.19826,0.0576095,0.458145,0.0607721,0.0250648,0.471891,0
0.00797394,0.215434,0.114286,0.0188143,0.298137,0.564133,0.294176,0.0532797,0.42319,0.52274,0.18506,0.286766,0.361715,0.00232239,0,0.90971,0
0.0553026,0.21865,0.102857,0.0336517,0.217391,0.727068,0.265665,0.233471,0.813062,0.026535,0.192979,0.0677942,0.461229,0.0607721,0.0250648,0.471891,0
0.0506832,0.221865,0.102857,0.0531932,0.217391,0.721065,0.266169,0.223326,0.831136,0.0079605,0.198618,0.0534109,0.457239,0.0607721,0.0250648,0.471891,0
0.0504946,0.22508,0.102857,0.0452982,0.217391,0.72021,0.266124,0.221914,0.833733,0.005307,0.199506,0.051906,0.456726,0.0607721,0.0250648,0.471891,0
0.0806906,0.221865,0.148571,0.0511614,0.242236,0.616214,0.286677,0.0505802,0.656937,0.326381,0.200835,0.0983237,0.394326,0.0032242,0,0.449744,1
0.0973343,0.231511,0.148571,0.121065,0.329192,0.462938,0.167426,0.206101,0.0158025,0.213899,0.190613,0.396529,0.277898,0.017898,0.00765093,0.449744,0
0.0135791,0.215434,0.12,0.0266059,0.223602,0.670364,0.270441,0.141417,0.877171,0.145943,0.225346,0.0136548,0.427244,0.0253349,3.98486e-05,0.241908,0
0.135932,0.209003,0.114286,0.059465,0.354037,0.464561,0.165085,0.176206,0,0.117296,0.143065,0.405583,0.270622,0.00168241,0,0.449744,0
0.178445,0.237942,0.0457143,0.0751919,0.217391,0.853007,0.299757,0.209627,0.51323,0.156557,0.0738691,0.445739,0.508971,0.0043918,0.00840805,0.255537,0
0.0106982,0.215434,0.114286,0.0511614,0.298137,0.557011,0.293657,0.0599781,0.417498,0.533413,0.189675,0.3034,0.357579,0.00232239,0,0.90971,0
0.0845388,0.244373,0.148571,0.0504659,0.329192,0.458337,0.170004,0.199287,0.0170199,0.210147,0.193704,0.387877,0.275295,0.017898,0.00765093,0.449744,0
0.0806906,0.250804,0.148571,0.0531932,0.329192,0.458263,0.1701,0.19394,0.00316051,0.191971,0.186517,0.389795,0.273972,0.00701446,0.00765093,0.449744,0
0.133668,0.237942,0.0342857,0.0538534,0.217391,0.872946,0.311687,0.206756,0.47777,0.1697,0.0528696,0.514306,0.500349,0.0043918,0.0840805,0.255537,0
0.101147,0.215434,0.131429,0.0356922,0.273292,0.604682,0.293319,0.0358951,0.630361,0.352955,0.201971,0.1274,0.38791,0.0032242,0,0.241908,0
0.103661,0.212219,0.131429,0.0356922,0.273292,0.60384,0.294158,0.0355198,0.631224,0.353005,0.202964,0.129612,0.387455,0.0032242,0,0.241908,0
0.0762335,0.254019,0.148571,0.0606412,0.304347,0.519399,0.253044,0.116185,0.257247,0.628045,0.190613,0.440236,0.332604,0.0347661,0.0157003,0.449744,0
0.107278,0.212219,0.165714,0.0490452,0.366459,0.459282,0.175253,0.222174,0.0316051,0.289767,0.194734,0.378609,0.281391,0.0022425,0,0.449744,0
0.0990824,0.22508,0.165714,0.124772,0.329192,0.457985,0.173318,0.215107,0.0446963,0.267096,0.194734,0.379212,0.279319,0.017898,0,0.90971,0
0.248667,0.205788,0.2,0.0118996,0.37267,0.474711,0.200505,0.204293,0.107318,0.447805,0.194734,0.396529,0.299086,0.0016827,0,0.449744,0
0.08073,0.254019,0.165714,0.059465,0.329192,0.453281,0.1742,0.20135,0.0360353,0.242051,0.197825,0.373115,0.274725,0.017898,0,0.90971,0
